"variable","mean","sd","n","min","max","skew","kurtosi"
"approach_avoidance_R",6.2242206235012,1.54526374062733,845,1,7,-2.17278491052877,3.84328799234255
"control",6.25385527876631,1.18566004866588,845,1,7,-1.93383494663789,3.80440547380833
"specificity",6.05568720379147,1.38983886749721,845,1,7,-1.66698835126651,2.2108652049762
"identified_motivation",6.21538461538462,1.11155072925021,845,1,7,-1.57367920134809,2.43222290516654
"measurability",6.09834123222749,1.30916908700483,845,1,7,-1.42364114914447,1.30029039365836
"clarity",6.08284023668639,1.07986811520963,845,1,7,-1.27536621266866,1.54907044210205
"attractiveness_achievement",6.04275534441805,1.02319171870353,845,1,7,-1.24285966379582,2.00185175658467
"self_resources",6.0711743772242,1.06316514034144,845,1,7,-1.20183935909072,1.5139370999359
"importance",6.12781065088757,1.1623010198683,845,2,7,-1.19906992208021,0.521917674223509
"commitment",6.11150652431791,1.13543570315651,845,2,7,-1.12827856018665,0.30011851444165
"ideal_motivation",5.57159763313609,1.59713841526961,845,1,7,-1.1191065248512,0.59729253973082
"social_desirability",5.86595492289442,1.27550134816747,845,1,7,-1.08962268490141,0.812648319025857
"initial_time_R",6.13727810650888,1.75247818426057,845,1,8,-1.05271695005708,0.843784818944939
"basic_needs",5.3810650887574,1.85022639879586,845,1,7,-1.03094078844903,-0.0461373739046116
"attractiveness_progress",5.94082840236686,1.02749028207622,845,1,7,-0.994578724400766,1.0384553673022
"implementation_intention",5.62158956109134,1.38033657552918,845,1,7,-0.906633274200654,0.211037104466146
"regret",5.57227488151659,1.48563354736061,845,1,7,-0.820069883404839,-0.131503987670397
"temporal_duration",3.11691542288557,0.692433712450461,845,1,4,-0.720521065498969,1.08062914427708
"commonality",5.02609727164887,1.88802510275334,845,1,7,-0.717547168192707,-0.56502806335246
"end_state_specificity_R",2.3153942428035,0.85144772098516,845,1,3,-0.649747148501957,-1.31142610266569
"instrumentality",5.03672985781991,1.87252766995366,845,1,7,-0.647613144735262,-0.676280315236104
"attainability",8.22366863905325,2.07122197236081,845,2,12,-0.571372128616172,-0.136923871077619
"other_resources",4.79526627218935,1.76712375923049,845,1,7,-0.550507761713256,-0.527109215616097
"meaningfulness",4.94075829383886,1.75519493791921,845,1,7,-0.44881541220869,-0.747383333901285
"affordance",5.26863905325444,1.43995907940773,845,1,7,-0.43035172837238,-0.649408513008239
"urgency",4.93136094674556,1.6145146347491,845,1,7,-0.422000231665605,-0.566875134233794
"external_importance",4.57036114570361,2.07910114956185,845,1,7,-0.338508227202315,-1.19880976073724
"attainment_maintenance_R",4.484375,2.44796555306179,845,1,7,-0.328210199034024,-1.55047063190451
"visibility",4.43297746144721,2.08972239759647,845,1,7,-0.285137777053722,-1.18012992526548
"difficulty",5.04260355029586,1.4918682711999,845,1,7,-0.273778778298355,-0.672502033564382
"effort",4.88270142180095,1.60714132894282,845,1,7,-0.261287047453282,-0.809920466690205
"failure",1.97988165680473,0.922762432755749,845,1,3,0.039734992915002,-1.82580401276501
"construal_level",3.99039615846339,1.99997691370922,845,1,7,0.0555066157422411,-1.18896443700568
"connectedness",3.8564650059312,1.962121187767,845,1,7,0.0639689075994792,-1.11507781975962
"introjected_motivation",3.62366863905325,2.14970697529763,845,1,7,0.17255150622802,-1.38669728293058
"procrastination",3.57109004739337,1.76452944781046,845,1,7,0.236346610123062,-0.894578538331559
"intrinsic_motivation",3.51184834123223,2.13285920644769,845,1,7,0.257686736249907,-1.32167277259716
"external_motivation",3.30568720379147,2.13237282872629,845,1,7,0.385742641221154,-1.2700442702914
"frequency_R",1.36463414634146,0.481621181476446,845,1,2,0.561440312632134,-1.68683743435761
"ought_motivation",2.72544378698225,1.95939314965248,845,1,7,0.876957528518182,-0.532583529339728
"conflict",2.18979833926453,1.46925428502319,845,1,7,1.27061381411421,0.999301278206267
