"term","estimate.x","conf.int.x","estimate.y","conf.int.y","estimate.x.x","conf.int.x.x","estimate.y.y","conf.int.y.y","estimate.x.x.x","conf.int.x.x.x","estimate.y.y.y","conf.int.y.y.y","estimate","conf.int"
"Intercept","0.09","[-0.82, 0.99]","0.58","[-0.29, 1.45]","0.08","[-0.84, 1.01]","0.73**","[0.04, 1.42]","2.75***","[2.38, 3.13]","2.29***","[1.58, 3.00]","2.29***","[1.58, 3.00]"
"Baseline Behavior","0.28***","[0.19, 0.36]","0.45***","[0.32, 0.58]","0.27***","[0.19, 0.35]","0.34***","[0.26, 0.43]","0.13***","[0.10, 0.15]","0.24***","[0.15, 0.33]","0.24***","[0.15, 0.33]"
"Clariy","0.15**","[0.01, 0.30]","0.20**","[0.03, 0.37]","0.27***","[0.12, 0.43]","0.36***","[0.22, 0.51]","-0.12***","[-0.17, -0.06]","0.44***","[0.32, 0.56]","0.44***","[0.32, 0.56]"
"Value","0.26**","[0.11, 0.41]",NA,NA,"0.21**","[0.06, 0.36]",NA,NA,NA,NA,"-0.14**","[-0.24, -0.04]","-0.14**","[-0.24, -0.04]"
"External Motive","0.25***","[0.16, 0.33]","0.18***","[0.08, 0.27]","0.17***","[0.08, 0.26]","0.17***","[0.10, 0.24]",NA,NA,"0.12***","[0.06, 0.18]","0.12***","[0.06, 0.18]"
"Recurring Goals","-0.17","[-0.44, 0.10]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Short-Term Goals","0.20","[-0.09, 0.49]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"${\sigma}^2$","0.26","","0.23","","0.21","","0.29","","0.06","","0.19","","1.15",""
"$\tau_{00}$","1.72","","2.14","","1.98","","1.27","","0.25","","0.90","","1.41",""
"ICC","0.13","","0.10","","0.09","","0.19","","0.20","","0.18","","0.45",""
"${R}^2$","0.28","","0.18","","0.20","","0.27","","0.19","","0.21","","0.15",""
"${\Omega_{0}}^2$","0.37","","0.26","","0.27","","0.41","","0.35","","0.35","","0.53",""
"observation","658","","657","","657","","657","","656","","655","","658",""
"group","213","","213","","213","","213","","213","","213","","213",""
